workload,NRH,Prac Level,ABO_Only,ABO_RFM,TPRAC,TPRAC-TREFpertREFI,TPRAC-TREFper2tREFI,TPRAC-TREFper4tREFI
401.bzip2,128.0,1.0,1.0059706893432243,0.9639949339605572,0.7751040347385562,0.8102044508775104,0.7886737832458838,0.8225076895241542
401.bzip2,256.0,1.0,1.0,0.93070381762258,0.8686448344490683,0.8762438936131717,0.8802243531753212,0.8751583137325855
401.bzip2,512.0,1.0,1.0,0.9623665641396779,0.9654423738013389,0.950787045413425,0.9261805681201375,0.9272661480007237
401.bzip2,1024.0,1.0,1.0,1.0043423195223449,0.9310656775827755,1.0,0.9956576804776551,0.9844400217115977
401.bzip2,2048.0,1.0,1.0,0.9741270128460284,0.9618237741993848,1.0,1.0,0.9791930522887644
401.bzip2,4096.0,1.0,1.0,1.0119413786864484,0.9851637416319885,1.0,1.0,1.0
403.gcc,128.0,1.0,0.9991034405469011,0.9950689230079569,0.9512495797377561,0.9624565729014902,0.9551720273450631,0.9539392580970524
403.gcc,256.0,1.0,0.9955172027345061,0.9979827412305278,0.96794799955172,0.9837498599125851,0.97512047517651,0.9726549366804884
403.gcc,512.0,1.0,0.999775860136725,0.9973103216407037,0.9883447271097161,0.9909223355373752,0.988905076767903,0.9866636781351562
403.gcc,1024.0,1.0,0.999439650341813,0.9995517202734505,0.9950689230079569,1.0,0.9984310209570771,0.9940602936232208
403.gcc,2048.0,1.0,1.0,0.9970861817774289,0.9982068810938023,1.0,1.0,0.997758601367253
403.gcc,4096.0,1.0,1.0,0.997422391572341,0.9986551608203517,1.0,1.0,1.0
410.bwaves,128.0,1.0,1.0,0.7329759217456734,0.5648984198645598,0.6379796839729119,0.6020504138449961,0.5832392776523702
410.bwaves,256.0,1.0,1.0,0.8495109104589916,0.7078630549285175,0.7851768246802105,0.7373965387509404,0.7286493604213693
410.bwaves,512.0,1.0,1.0,0.9572046651617757,0.8495109104589916,0.9166666666666665,0.885158013544018,0.8724604966139954
410.bwaves,1024.0,1.0,1.0,0.9876787057938297,0.9310571858540254,1.0,0.954665161775771,0.9525959367945822
410.bwaves,2048.0,1.0,1.0,0.9955793829947327,0.9560759969902181,1.0,1.0,0.971218961625282
410.bwaves,4096.0,1.0,1.0,0.9827878103837472,0.9715951843491345,1.0,1.0,1.0
416.gamess,128.0,1.0,1.0,1.0,0.9984929283561327,0.9988407141201019,0.9987247855321121,0.9987247855321121
416.gamess,256.0,1.0,1.0,1.0001159285879897,0.9988407141201019,0.999304428472061,0.999304428472061,0.9990725712960813
416.gamess,512.0,1.0,1.0,0.9998840714120101,0.9995362856480406,0.9997681428240204,0.9997681428240204,0.9995362856480406
416.gamess,1024.0,1.0,1.0,1.0001159285879897,0.9997681428240204,1.0,0.9997681428240204,0.9996522142360306
416.gamess,2048.0,1.0,1.0,1.0,0.9997681428240204,1.0,1.0,1.0
416.gamess,4096.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
429.mcf,128.0,1.0,0.9990027779756394,0.7920079777761948,0.6199159484293754,0.6919296246171379,0.6538214972576395,0.6281786452026498
429.mcf,256.0,1.0,1.0,0.8850345466201298,0.7416482655459791,0.8180782106987676,0.7816796068096018,0.771422465987606
429.mcf,512.0,1.0,1.0,0.9571906830970867,0.8853906973431156,0.9440131063466058,0.9019873210342617,0.8912315692000854
429.mcf,1024.0,1.0,1.0,0.9804829403803691,0.9362490205855118,1.0,0.9754256001139684,0.9566208419403092
429.mcf,2048.0,1.0,1.0,0.9970795640715151,0.979414488211411,1.0,1.0,0.9915236127929341
429.mcf,4096.0,1.0,1.0,1.0004273808675832,0.9893867084550182,1.0,1.0,1.0
433.milc,128.0,1.0,0.9984335462103867,0.7390046993613687,0.5677792505121099,0.6569466200747077,0.5893481142306302,0.5724786118809495
433.milc,256.0,1.0,1.0,0.8862513555850101,0.6956259790336183,0.7891312206289914,0.7614170381973729,0.7402096638149174
433.milc,512.0,1.0,1.0,0.9821665260874802,0.866248945656103,0.9078202193035305,0.90384383660682,0.8880588022653331
433.milc,1024.0,1.0,1.0,0.9736112784672852,0.9174599349319195,1.0,0.9749367393661886,0.9264971683335341
433.milc,2048.0,1.0,1.0,0.9760212073743825,0.9790336185082539,1.0,1.0,0.9909627665983851
433.milc,4096.0,1.0,1.0,1.0010844680081936,0.971080853114833,1.0,1.0,1.0
435.gromacs,128.0,1.0,1.0,0.9989891047961363,0.9876446141749973,0.9904526564079524,0.9878692575536338,0.9878692575536338
435.gromacs,256.0,1.0,1.0,0.9993260698640909,0.992811411883635,0.9940469504661351,0.9939346287768169,0.993373020330226
435.gromacs,512.0,1.0,1.0,0.9996630349320458,0.9946085589127263,0.9959564191845448,0.9959564191845448,0.9962933842524995
435.gromacs,1024.0,1.0,1.0,0.9986521397281817,0.9980905312815905,1.0,1.0010108952038639,0.9991014264854544
435.gromacs,2048.0,1.0,1.0,0.9995507132427274,0.9979782095922726,1.0,1.0,0.9997753566213637
435.gromacs,4096.0,1.0,1.0,1.0001123216893184,0.9993260698640909,1.0,1.0,1.0
436.cactusADM,128.0,1.0,0.9754862707617596,0.8246583834887505,0.6595458889778628,0.7266292976519516,0.6955028026761038,0.6926097176659004
436.cactusADM,256.0,1.0,1.0,0.8796011675664506,0.7733577867899672,0.8321752382920466,0.7969674269625191,0.7892697543460855
436.cactusADM,512.0,1.0,1.0,0.9478728075840158,0.8920259344406273,0.9214992379820733,0.9184511662748949,0.8848965463797692
436.cactusADM,1024.0,1.0,1.0,0.9908557848784646,0.933588200346137,1.0,0.9699325807868159,0.9651279931805854
436.cactusADM,2048.0,1.0,1.0,0.9728256657970191,0.9582310851651901,1.0,1.0,0.9900033580451011
436.cactusADM,4096.0,1.0,1.0,0.9909591093431148,0.9729806524939942,1.0,1.0,1.0
437.leslie3d,128.0,1.0,1.0039502842277677,0.7534444551498217,0.5741882647653916,0.6365256768474805,0.6000096348395799,0.5998169380479815
437.leslie3d,256.0,1.0,1.0,0.8702668850563638,0.7077753155409963,0.7732440504865593,0.7460738028711822,0.7332594662298872
437.leslie3d,512.0,1.0,1.0,0.9605935061181231,0.8785528470950958,0.9261489546199054,0.8907890933615956,0.8722902013681473
437.leslie3d,1024.0,1.0,1.0,0.9881491473166972,0.9320743809615569,1.0,0.9740341073321129,0.9553906927449658
437.leslie3d,2048.0,1.0,1.0,0.9915695153675691,0.9858367858175162,1.0,1.0,1.0243279699393004
437.leslie3d,4096.0,1.0,1.0,1.0132479044223912,1.0002890451873976,1.0,1.0,1.0
444.namd,128.0,1.0,1.0,0.9967292132897226,0.9622998794973316,0.9776209330349458,0.9713375796178345,0.9734894129798588
444.namd,256.0,1.0,1.0,0.9985367533138233,0.9829574797727665,0.9850232398003099,0.9854536064727148,0.9839042864520571
444.namd,512.0,1.0,1.0,1.000430366672405,0.9925976932346359,0.996040626613875,0.9929419865725599,0.992253399896712
444.namd,1024.0,1.0,1.0,0.9997417799965571,0.9964709932862799,1.0,0.9978481666379755,0.9970735066276468
444.namd,2048.0,1.0,1.0,1.0,0.9985367533138234,1.0,1.0,0.9986228266483044
444.namd,4096.0,1.0,1.0,1.000086073334481,0.9983646066448614,1.0,1.0,1.0
445.gobmk,128.0,1.0,1.0,1.0,0.9953611663353216,0.99679699580296,0.9962447537000222,0.9956925115970844
445.gobmk,256.0,1.0,1.0,1.0001104484205876,0.9970178926441354,0.9977910315882483,0.997349237905898,0.9974596863264857
445.gobmk,512.0,1.0,1.0,1.0001104484205876,0.9985641705323616,0.9993373094764747,0.9988955157941244,0.9984537221117739
445.gobmk,1024.0,1.0,1.0,1.0002208968411752,0.9992268610558871,1.0,0.9997791031588249,0.9995582063176499
