workload,NRH,Prac Level,TPRAC,TPRAC-TREFpertREFI,TPRAC-TREFper2tREFI,TPRAC-TREFper3tREFI,TPRAC-TREFper4tREFI
401.bzip2,1024.0,1.0,0.9310656775827755,1.0,0.9956576804776551,0.9887823412339424,0.9844400217115977
403.gcc,1024.0,1.0,0.9950689230079569,1.0,0.9984310209570771,0.9955172027345063,0.9940602936232208
410.bwaves,1024.0,1.0,0.9310571858540254,1.0,0.954665161775771,0.9435665914221218,0.9525959367945822
416.gamess,1024.0,1.0,0.9997681428240204,1.0,0.9997681428240204,0.9997681428240204,0.9996522142360306
429.mcf,1024.0,1.0,0.9362490205855118,1.0,0.9754256001139684,0.9701545694137759,0.9566208419403092
433.milc,1024.0,1.0,0.9174599349319195,1.0,0.9749367393661886,0.9736112784672852,0.9264971683335341
435.gromacs,1024.0,1.0,0.9980905312815905,1.0,1.0010108952038639,0.9989891047961363,0.9991014264854544
436.cactusADM,1024.0,1.0,0.933588200346137,1.0,0.9699325807868159,0.9493710123214425,0.9651279931805854
437.leslie3d,1024.0,1.0,0.9320743809615569,1.0,0.9740341073321129,0.9640620483668946,0.9553906927449658
444.namd,1024.0,1.0,0.9964709932862799,1.0,0.9978481666379755,0.9977620933034944,0.9970735066276468
445.gobmk,1024.0,1.0,0.9992268610558871,1.0,0.9997791031588249,0.9996686547382374,0.9995582063176499
447.dealII,1024.0,1.0,0.9989614705576904,1.0,0.9997922941115381,0.9988576176134594,0.9995845882230762
450.soplex,1024.0,1.0,0.9353794759369454,1.0,0.9817308696106065,0.9642968994675852,0.9445662386470403
453.povray,1024.0,1.0,0.9997511818860412,1.0,0.9997511818860412,0.9997511818860412,0.9997511818860412
454.calculix,1024.0,1.0,0.9995510460626739,1.0,0.9999102092125347,0.9997306276376043,0.9995510460626739
456.hmmer,1024.0,1.0,0.9982352199672256,1.0,0.9992436657002395,0.9988654985503592,0.9989915542669862
458.sjeng,1024.0,1.0,0.9782747603833866,1.0,0.9894568690095845,0.9859424920127797,0.9833865814696485
459.GemsFDTD,1024.0,1.0,0.963350510043117,1.0,0.9833315806078452,0.980492165317068,0.9736565359133451
464.h264ref,1024.0,1.0,0.972765181131092,1.0,0.9912692207453739,0.982017200938233,0.9878811571540266
465.tonto,1024.0,1.0,0.996923753021314,1.0,0.998242144583608,0.9980224126565589,0.9978026807295101
470.lbm,1024.0,1.0,0.9362158073868648,1.0,0.9667843186688516,0.9535484684230431,0.9483171561830328
471.omnetpp,1024.0,1.0,0.953358011634056,1.0,0.9764145954521417,0.967741935483871,0.9649920676890534
473.astar,1024.0,1.0,0.970914308073562,1.0,0.9851310812573366,0.9809573496804487,0.9792617712273379
481.wrf,1024.0,1.0,0.9923816221284576,1.0,0.9957805907172996,0.9953117674636663,0.9942569151429912
482.sphinx3,1024.0,1.0,0.939996045867932,1.0,0.9688612099644127,0.9321372083827599,0.9402431791221826
483.xalancbmk,1024.0,1.0,0.9520266301155276,1.0,0.9781672214607402,0.9683767378108478,0.9635794008224005
600.perlbench,1024.0,1.0,0.9977603583426652,1.0,0.9988801791713325,0.998574773490787,0.9980657640232108
603.bwaves,1024.0,1.0,0.9987635785569194,1.0,1.0000883158173628,0.999911684182637,0.9996467367305485
605.mcf,1024.0,1.0,0.9521628994544038,1.0,0.9772018706157443,0.9677513639906469,0.9692127825409198
607.cactuBSSN,1024.0,1.0,0.9469508456850229,1.0,0.9730606945796819,0.9689134119513867,0.9611958599300372
619.lbm,1024.0,1.0,0.9382165115026543,1.0,0.9775332769100561,0.9643763945525891,0.9610679387550973
620.omnetpp,1024.0,1.0,0.9603047313552525,1.0,0.984262229350441,0.9743384121892541,0.971832397754611
621.wrf,1024.0,1.0,0.9996481351161155,1.0,0.9996481351161155,0.9992962702322308,1.0
623.xalancbmk,1024.0,1.0,0.9886428165814879,1.0,0.9937535491198184,0.9922392579973501,0.9916713988264244
625.x264,1024.0,1.0,0.988846059214303,1.0,0.9938489297137701,0.9924546871155581,0.9915525301402442
627.cam4,1024.0,1.0,0.9302891110510673,1.0,0.9754120507970818,0.961956228046474,0.9561740070251283
628.pop2,1024.0,1.0,0.9549389841688654,1.0,0.9703578496042216,0.9423647757255936,0.9513110158311345
631.deepsjeng,1024.0,1.0,0.9731543624161074,1.0,0.9883778032411196,0.9851039449991815,0.9801931576362742
638.imagick,1024.0,1.0,0.9994180971777714,1.0,0.9996363107361071,0.9995635728833286,0.9996363107361071
641.leela,1024.0,1.0,0.9994272623138604,1.0,0.9997136311569301,0.9995704467353952,0.9994272623138604
644.nab,1024.0,1.0,0.9912553439564711,1.0,0.9949475320637389,0.9938787407695296,0.9918383210260395
648.exchange2,1024.0,1.0,0.9999169297225453,1.0,1.0,0.9998338594450905,1.0
649.fotonik3d,1024.0,1.0,0.9602063375092114,1.0,0.9763264554163595,0.9684966838614592,0.9634303610906411
654.roms,1024.0,1.0,0.8990147783251231,1.0,0.9308105687416034,0.9246902522764593,0.941931631586804
657.xz,1024.0,1.0,0.9641466912517925,1.0,0.9788977668510551,0.9748002458512601,0.9698832206515058
cassandra,1024.0,1.0,0.9427211039516451,1.0,0.9806409306038659,0.9697496721217996,0.9634487084450019
classification,1024.0,1.0,0.9246126183298957,1.0,0.9686657147390131,0.9849013697181237,0.9595959595959596
cloud9,1024.0,1.0,0.9472916286704358,1.0,0.9963523618457049,0.9839503921211016,0.9336129855918293
nutch,1024.0,1.0,0.9356940619788233,1.0,0.968583950665167,0.9597021293100105,0.9570647325757281
SPEC2K6 (26),1024.0,1.0,0.9706274803625055,1.0,0.9876192084993417,0.9807682245005922,0.9799094779932085
SPEC2K17 (20),1024.0,1.0,0.9702692053815332,1.0,0.9847410860744346,0.9791482132201823,0.9786629851611827
CloudSuite (4),1024.0,1.0,0.9375407526683345,1.0,0.9784948448585725,0.9745194492486056,0.9533586284693442
All (50),1024.0,1.0,0.965541484980628,1.0,0.9851508661351486,0.9791997581498486,0.975342755726
